category,headline,first_paragraph
polit,Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party,"The lawmaker is reportedly one of at least 50 investors in the winery, though the company said they were not involved in the party."
corrupt,"Immigrant Children Accuse Border Patrol Of Abuse And Neglect, Report Shows","One 16-year-old filed a complaint alleging that a Border Patrol agent ""threw him down and smashed his head into the ground with his boot."""
polit,Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit,American influence could tip the referendum.
polit,Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant,"Emmet Flood, the White House attorney dealing with the Russia probe, was present at a controversial DOJ meeting about the investigation."
polit,"Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150,000 Females A Year’",Every Republican on the judiciary committee voted for Wendy Vitter.
polit,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get ‘Spygate’ Report,The canceled North Korea summit doesn’t mean the president will be talking to the special counsel anytime soon.
polit,Kentucky Attorney Running For Judge Dies 1 Day After Primary Win,"Danny Alvarez, a married of father of three, was vying for Jefferson County District Court judge in Louisville."
polit,Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling,"Other tweeters, including Mexico's former president Vicente Fox, also poked fun at Trump over the news."
polit,The Koch Network Is Going After One Of Trump’s Favorite Congressmen,The billionaire Koch brothers’ political network wants to show it will punish Republicans who don’t support its agenda.
polit,Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men ‘Property Rights’ Over Fetuses,"Before he was Trump's embattled EPA chief, Pruitt was a state politician who backed draconian abortion restrictions."
polit,Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim,"""Pot meet kettle."""
polit,Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,"The bill would let lawmakers hide past offenses and only be punished for ""severe or pervasive"" harassment, the ACLU said."
polit,Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement,She plans to get the required number of petition signatures to make it onto the ballot.
polit,White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,An internal memo obtained by The Washington Post offers a glimpse into the challenges faced by the Trump administration on the issue of climate change.
polit,Read Trump's Letter To Kim Jong Un Canceling North Korea Summit,"Basically: ""It's not me, it's you."""
polit,Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now,"Sure, this seems like the kind of thing a private company should be in charge of. Welcome to the Facebook Election Commission."
crime,Border Agent Fatally Shoots Migrant Woman In Texas,“Why did you shoot at the girl? You killed her!” a bystander asks in viral video that shows the aftermath of the shooting.
polit,Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City,"The California city recognized her as a “national figure in the resistance to the Trump Administration."""
polit,A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?,The Supreme Court will likely have to determine whether indefinite detention without a bond hearing violates the Constitution.
educ,House Democrats Offer Internships For Students Affected By Gun Violence,"“It’s important that we learn from their experience."""
polit,Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor,The former sheriff ― the first Latina nominated for Texas governor by a major party ― now faces GOP Gov. Greg Abbott.
polit,Report: Michael Cohen's Business Partner Cooperating With Prosecutors,Evgeny Freidman has been Cohen’s partner in the taxi business for years.
polit,Stacey Abrams Wins Democratic Primary For Georgia Governor,"If elected, the former party leader in the state legislature would be the nation’s first black female governor."
polit,Gina Ortiz Jones Wins Democratic Runoff In Texas Congressional Race,The Iraq War veteran will now face GOP Rep. Will Hurd in November. She'll make history if she wins.
polit,Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District,McGrath's victory continues the success women and political newcomers have found in Democratic primaries.
polit,Trump Rallies Conservatives With Promise Of More Abortion Curbs,"The president, who just unveiled new restrictions on abortion services, sought the support of anti-abortion activists at Susan B. Anthony List's annual gala."
polit,The ACLU Is Suing To Strike Down Ohio's Congressional Map,"The civil liberties group says Ohio's map is so heavily gerrymandered, it violates the Constitution."
crime,The Latest School Shooting Hasn't Really Stirred The Gun Debate,"Santa Fe, unlike Parkland, doesn't seem to be significantly driving new calls for gun control."
polit,House Republicans Report Progress On An Immigration Deal,But they might need a reality check.
polit,Democrats Weren't Invited To Review Classified Documents On FBI Informant,Republicans have been demanding a look at documents about whether Obama planted a spy in the Trump campaign.
polit,GOP Candidate Who Pointed Gun At Teenager Advances To Georgia Governor Primary Runoff,"In an ad, Brian Kemp said he would round up undocumented immigrants and ""take them home myself."""
polit,Democrats Push To Be Included In Classified Briefing On FBI Informant,The top Democratic leaders warned a Republicans-only meeting would set a bad precedent for the Justice Department.
polit,"Trump Blocking People On Twitter Is Unconstitutional, Judge Rules","The president's Twitter feed is a ""public forum,"" the judge found."
polit,Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union,The state's fourth-largest union had backed the Democratic congresswoman two years ago.
polit,Jared Kushner Received His Security Clearance: Reports,The president's son-in-law had been using a temporary security clearance while the FBI performed a background check.
polit,Arizona GOP Congressional Candidate Compares Abortion To Holocaust,"“The callousness that our country has for life is very disturbing,"" GOP candidate Wendy Rogers said."
polit,Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat,"McBath, whose son was shot dead in 2012, will be facing businessman Kevin Abel in a Democratic primary runoff on July 24."
polit,Establishment-Backed Moderate Wins Heated Democratic House Primary In Texas,Lawyer Lizzie Fletcher beat progressive activist Laura Moser in a district Democrats hope to take from the GOP.
polit,Shoppers Boycott Publix Over Store's Donations To NRA-Backed Candidate,"Adam Putnam, a self-described ""NRA sellout"" running for Florida governor, received $670,000 from the company."
crime,Bill De Blasio Tells NYPD To Stop Arresting People For Smoking Pot On The Street,The recommendation comes days after the Manhattan district attorney pledged to stop prosecuting low-level marijuana cases.
polit,The Georgia GOP Governor's Primary Focuses On Guns And Immigration,And here's a look at other key races in Tuesday's voting in four states.
polit,Georgia Governor’s Primary Highlights Competing Visions For The Democratic Party,The contest between Stacey Abrams and Stacey Evans is a battle of divergent political strategies.
educ,Democrats Want To Boost School Funding To Address Teacher Walkouts,Their agenda would steer $100 billion toward schools and salaries and guarantee teachers' right to join unions.
polit,Trump Reportedly Rejects Phone Security Measures As 'Too Inconvenient',The president is said to use a cellphone that lacks top security features and ignores advice to regularly swap his Twitter phone.
polit,Ex-Trump Adviser Calls President's Claims That Informant Spied On Campaign 'Embarrassing',Trump has asked the Justice Department to look into whether an FBI informant infiltrated his campaign for political purposes.
polit,Vietnam Is A Test For What Happens When The U.S. Abandons Climate Diplomacy,The Asian country’s energy needs are growing and coal power is a tempting solution.
polit,Just One-Third Of Americans Think Trump Is Successfully Draining The Swamp,That percentage has barely budged since last year.
polit,"Texans On Both Sides Of Gun Debate Agree On Safe Storage, But Not On How To Support It","The state has a child access prevention law, but it doesn't appear to be working as intended."
polit,Judge Orders Texas To Make Voter Registration Easier When Updating DMV Info,Plaintiffs complained that the state violated the 1993 National Voter Registration Act.
polit,Hillary Clinton To Endorse Andrew Cuomo's Re-Election,"The New York governor faces former ""Sex and the City"" star Cynthia Nixon in the Democratic primary."
polit,Blake Farenthold May Have Been Hired Illegally At His New Lobbyist Job,"A Texas newspaper filed a lawsuit alleging the Calhoun Port Authority hired the disgraced former lawmaker without public notice, in violation of state law."
polit,Democrats Plan Big Anti-Corruption Theme For Midterms,"It's a revival of a successful tactic Dems used in 2006, when they took control of both chambers of Congress."
polit,We Asked The American Public To Settle 5 Of The Internet's Dumbest Debates,Our poll showed some surprising generational divides.
polit,Fox News Viewers Really Don’t Like Lifelong Republican Robert Mueller,Most of those following the Trump-Russia investigation via the cable news outlet say they strongly disapprove of the special counsel's job performance.
polit,Trump Team Moves To Lift Ban On 'Extreme' Hunting Tactics In Alaska,The proposal would allow hunters to kill bear cubs and wolf pups in their dens and shoot swimming caribou from motorboats.
polit,Mike Pompeo Promises To 'Crush' Iran And Achieve A Better Deal,The secretary of state avoided specifics on how he would convince  the rest of the world to abandon the existing nuclear accord.
polit,"U.S., China Putting Trade War On Hold, Treasury's Steve Mnuchin Says","""Right now, we have agreed to put the tariffs on hold while we try to execute the framework."""
polit,Trump’s Top Economic Adviser Says Amazon Threats Are ‘Not In My Lane’,Larry Kudlow dodges when asked about the president’s attacks on the retail giant.
polit,Trump: 'Real Americans' Should Get 'Tough' On Russia Probe,The president tried to smear the credibility of special counsel Robert Mueller's investigation yet again.
polit,Trump Sets Up Showdown With DOJ Over Claims Of Campaign Surveillance,The Justice Department responded by asking its inspector general to look into Trump's charge.
polit,Trump Jr. Met With Emissary For Gulf Princes Offering Help With Campaign In 2016: Report,"The crown princes of the UAE and Saudi Arabia offered help to the Trump presidential campaign, the New York Times reports."
polit,Jeff Sessions Uses Exceptional Power Over Immigration Courts To Limit Judges' Authority,"The attorney general ordered judges to stop administratively closing cases, whether they think it's best or not."
health,New Trump Rule Would Cut Federal Funds From Clinics Providing Abortions,Providers like Planned Parenthood would lose funding for essential health checks like breast cancer screenings.
polit,Trump White House Kills Off Yanny-Laurel Debate With 'Ridiculous' Clip,It's over.
polit,Top Democrats Want Answers On Global Health Security Head's Sudden Departure,"“The threat of a pandemic is serious, and it’s important families know we have a vigilant and experienced team in place.”"
polit,Gun Owners And Non-Gun Owners Actually Agree On A Lot Of Gun Reforms,A recently released survey of the two groups finds minimal gaps in support for many key policies.
polit,So States Ban Bump Stocks. Now How Do They Enforce the Law?,"Another concern for some gun rights activists is that the state bans do not give enough notice to residents that possessing a bump stock is, in most cases, a felony."
polit,"Report: Manafort's Former Son-In-Law Cuts Plea Deal, To Cooperate With Government",The guilty plea agreement could add to the legal pressure on Manafort.
polit,Freedom Caucus Sinks Key Part Of Paul Ryan's Welfare Reform Agenda,A fight over immigration ended up tanking the farm bill.
polit,Retiring Lawmakers Have Added $32.8 Million To Campaign Treasuries Since Last Election,"By Frank Bass, MapLight More than five dozen congressmen who have retired or plan to retire next year have raised at least"
polit,"Facing Farm Bill Vote Problems, GOP Leaders May Have To Make A Deal","Somehow, the farm bill may hinge on immigration."
polit,Trump’s Stormy Daniels Disclosure Still Leaves Questions About Payments To Cohen,"According to Rudy Giuliani, Trump paid Michael Cohen $420,000 – but Cohen only paid Daniels $130,000. What happened to the rest of it?"
polit,"Boulder City Council Unanimously Votes To Ban Assault Weapons, High-Capacity Magazines",Opponents to the measure have vowed to challenge the ban in court.
polit,Mitch McConnell Taps Anti-LGBTQ Bigot For Religious Freedom Panel,"Tony Perkins, who has warned of gay people waging an anti-Christian holocaust, is now on the Commission on International Religious Freedom."
polit,"Josh Holt, American Captive in Venezuela, Begs For Help In Prison Videos",The 26-year-old's plea comes amid rioting at the prison where he has been held without trial since 2016.
polit,Senate Intelligence Committee Backs Gina Haspel To Lead The CIA,Haspel looks all but assured to win confirmation in a vote before the full Senate.
polit,Pennsylvania's Congressional Delegation Will No Longer Be All Men,It looks like at least one woman will be heading to Washington from the state.
polit,Conservatives Cook Up Farm Bill Gambit to Get Vote On Hardline Immigration Bill,This is getting very House of Cards-y.
polit,Top Novartis Lawyer Resigns Over Michael Cohen Deal,U.S. lawmakers demand details from Novartis and AT&T about their payments to Cohen's firm.
polit,White House Eliminates Cyber Czar Post After First Appointee Leaves,"“I don’t see how getting rid of the top cyber official in the White House does anything to make our country safer from cyber threats,” Mark Warner, the top Democrat on the Senate Intelligence committee, said."
polit,EMILY’s List-Backed Lawyer Wins Democratic Primary In Pennsylvania Swing District,Susan Wild would be the first woman to represent the Lehigh Valley in Congress.
polit,Republicans Are Attacking Nancy Pelosi Even In Non-House Races,The House minority leader is turning up in GOP attack ads for Senate and state legislative races.
polit,Louisiana Lawmakers Approve Restoring Voting Rights To People On Probation And Parole,The measure’s passage is a significant victory for voting rights advocates.
polit,Idaho Inches Closer To Electing The Nation's First Native American Governor,Paulette Jordan won the Democratic primary in the Idaho governor's race.
polit,Pro-Abortion Rights Progressive Wins Nebraska Democratic House Primary,Kara Eastman prevailed against an establishment favorite in challenging territory.
polit,Senate Panel Releases Details From Its Trump Tower Meeting Probe,"Among the information released was an interview with Donald Trump, Jr."
polit,U.S. Report Contradicts Michigan Governor Candidate Over Test Animal Treatment,The Agriculture Department found animal welfare violations in Democrat Shri Thanedar’s chemical testing facility.
polit,The Republican Welfare Plan Is About Keeping Wages Down,But they might be overestimating what their legislation would do.
polit,FBI Search Of CIA Leak Suspect Turned Up Photos Of Sex Assault On Unconscious Friend,"The government suspects that Joshua Adam Schulte gave documents to WikiLeaks, but they're holding him on child pornography charges."
polit,Former Trump Pick For Top Census Role Says Citizenship Question Was 'Political',"""They have made a political decision. And they have every right to do that because they won the election,” Thomas Brunell said."
polit,"Jared Kushner Was 'Agitated, Infuriated' At Meeting With Russians Focused On Adoptions",Thousands of pages of transcripts detail the meeting at Trump Tower with Russians.
polit,Democrats Force Vote To Keep Net Neutrality Rules,"It's only a temporary victory, however."
polit,Most People Think They're Being Civil About Politics. Their Opponents Disagree.,Everyone agrees that the national discourse is currently less than genteel -- and that the other side is to blame.
polit,White House Blames Deadly Gaza Violence On Hamas ‘Propaganda’,"Israeli forces opened fire on Palestinian protesters on Monday, killing more than 50 and injuring thousands more."
polit,Gina Haspel Now Says CIA Shouldn't Have Conducted Its Interrogation Program,She repeatedly refused to weigh in on its morality at her confirmation hearing.
polit,Georgia GOP Gov. Candidate Wants To Round Up Immigrants In 'Deportation Bus',"""We’re going to put them on this bus and send them home,"" boasts state Sen. Michael Williams."
polit,New Federal Regulator Takes Aim At Facebook,"Rohit Chopra, a Trump appointee to the Federal Trade Commission, took a not-so-subtle jab at the tech giant."
polit,Still No Apology From The White House Over 'Dying' McCain Dig,The White House appeared to be more upset that Kelly Sadler’s comment was leaked than by her ugly remark.
polit,South Dakota Congressional Candidate Said Terrorist Attack Would Help Him Win Primary,State Sen. Neal Tapio was the state director for Donald Trump’s 2016 campaign.
polit,Supreme Court Invalidates Federal Ban On Sports Gambling,"The ruling paves the way for states to legalize sports betting, but could have implications far beyond sports."
polit,Prosecutor Drops Felony Invasion Of Privacy Charge Against Missouri Gov. Eric Greitens,St. Louis Circuit Attorney Kim Gardner took the action after the defense requested to put her on the stand.
polit,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,"In one of his most controversial decisions to date, Trump declared Jerusalem the capital of Israel in December."
polit,Not An Onion Story: Blake Farenthold Gets A New Job Lobbying Congress,It's only been a month since he quit his House seat amid an ethics committee probe into sexual harassment allegations.
polit,Iowa Gov. Says 'We're Not Slowing Down' After Signing Country's Strictest Abortion Ban,"“We are No. 1 in the country when it comes to protecting life,” Republican Gov. Kim Reynolds said."
polit,"Jon Tester, Vulnerable Senate Democrat, Isn’t Voting Like One",The Montanan is up for re-election in a state Trump won in a romp. That hasn't stopped him from opposing Trump nominees.
polit,Hundreds Protest In Cities Across U.S. For 'Poor People's Campaign',"The movement demands lawmakers do more to help Americans in poverty, from supporting a $15 minimum wage to ending systemic racism."
polit,What Do Most Americans Make Of The Iran Deal? It Depends How You Ask.,Much of the U.S. public appears not to have any deeply held convictions about the accord.
polit,Michael Bloomberg Slams 'Epidemic' Of Political Lies As Danger To Democracy,"""How did we go from a president who could not tell a lie to politicians who cannot tell the truth?"""
polit,John Bolton: Trump Sanctions On European Companies 'Possible' Over Iran,The national security adviser believes the U.S. can force European nations to abandon the historic Iran nuclear accord.
polit,"George Soros, Progressive Groups To Spend Millions To Elect Reformist Prosecutors","If they succeed, the liberal billionaire and political action committees could change how the law is enforced in America."
polit,Democrats Say They Don't Regret Making It Easier To Confirm Judges,"“It wasn’t a mistake,"" Sen. Jeff Merkley said."
polit,John McCain's Wife Rebukes White House Official Who Mocked Him As 'Dying Anyway',The aide reportedly tossed out the cruel remark in response to the senator's opposition to the CIA director nominee.
polit,A Pennsylvania House Race Embodies The Fight For The Future Of The Democratic Party,"“This is a race that people around the country should probably be watching closely,” one strategist said."
polit,Hackers Tried To Breach A Tennessee County Server On Election Night: Report,Investigators traced IP addresses linked to the attack to foreign countries.
polit,Congressional Candidate Says 'F**k The NRA' In New TV Ad,"""Their pro-gun policies have resulted in dead children, dead mothers and dead fathers,"" says Democratic congressional candidate Pat Davis."
polit,Trump And Kim Jong Un Likely To Meet Next Month In Singapore,The president is expected to reveal details of the meeting with the North Korean leader in three days.
polit,Homeland Security Denies Report That Secretary Drafted Resignation Letter,The New York Times says Trump berated Kirstjen Nielsen's ability to secure the border.
polit,Cecile Richards On Running For Office In The Future: 'Never Say Never',"""There’s no reason to foreclose things,"" the former Planned Parenthood president told Refinery29."
polit,ACLU Says Kris Kobach Is Still Giving Out Incorrect Information About Voter Registration,Information on Kobach's website misleadingly suggests that everyone in Kansas needs to prove they're a citizen when they register to vote.
polit,Trump Is Going To Indiana To Slam Joe Donnelly. Don’t Expect The Democrat To Hit Back.,The vulnerable incumbent will criticize the GOP tax law and Mitch McConnell instead.
polit,John McCain Urges Senate To Reject Gina Haspel's Nomination For CIA,"""I believe the Senate should exercise its duty of advice and consent and reject this nomination,"" the Arizona Republican said."
polit,Mike Pence To Robert Mueller On Russia Probe: 'Wrap It Up',"""Why does Mike Pence want to kill this investigation?” asked Joe Scarborough."
polit,Democratic Candidate For Maryland Governor Dies Of Cardiac Arrest,"Kevin Kamenetz, 60, was a two-term Baltimore County executive, husband and father of two sons."
polit,The Quiet Struggle Between Chuck Schumer And The Left,A pending appointment marks a truce in an ongoing saga.
polit,Here Are Those Facebook Ads That House Dems Say Russia Ran During The 2016 Election,"The House released all 3,000 of the ads on Thursday."
polit,Republicans Fill Court Seat They Denied To Obama For 6 Years,Ron Johnson and Mitch McConnell did whatever it took to hold the lifetime seat open for a GOP president to fill.
polit,Trump Announces Details Of Meeting With Kim Jong Un,Trump will meet with Kim Jong Un on June 12 in Singapore.
polit,Rudy Giuliani Quits Law Firm After Wild Week Of Interviews,Partners at the law firm reportedly were displeased at Giuliani's suggestion that payoffs like Michael Cohen's deal with Stormy Daniels were common practice.
polit,There’s No Good Excuse For The Racist Impact Of Michigan’s Medicaid Proposal,"The plan's architects say they didn't mean to disadvantage black cities, but they had easy ways not to."
polit,3 Americans Jailed In N. Korea Are Home. But Trump May Have Made Others' Situation Worse.,"For Americans behind bars in Iran, Egypt, Turkey and elsewhere, homecoming ceremonies appear to be a long way off."
polit,Eric Schneiderman Praised Me Too Movement Days Before Abuse Allegations Emerged,"WNYC has released an interview conducted last week that host Alec Baldwin says is now ""difficult listening."""
polit,"A Year After Comey's Firing, Scope Of Mueller Probe Expands to Lawyer's Shell Company",Millions of dollars flowed into a dummy corporation used by Michael Cohen to pay for a porn star's silence.
polit,Trump-Inspired Businessman Wins Indiana’s GOP Senate Primary,He defeated two congressmen and will challenge Democratic Sen. Joe Donnelly in November.
polit,GOP Rival Says Tammy Baldwin Is On ‘Team Terrorists’ For Her Silence On Trump CIA Pick,"The Democratic senator ""would rather give ... terrorists hugs and safe spaces than take adequate action to protect America,"" state Sen. Leah Vukmir (Wis.) said."
polit,This Jobs Program Just Might Get People Back To Work,"A mix of enforcement and assistance gets people off unemployment benefits and back to work faster, research suggests."
polit,Trump Accuser Wins Democratic Nomination For Ohio Legislature,Rachel Crooks says Trump forcibly kissed her in the Trump Tower lobby in 2005.
polit,Conservative Senate Democrat Who Backs Trump’s Agenda Defeats Progressive Challenger,Sen. Joe Manchin of West Virginia has voted with Trump 61 percent of the time.
polit,"Russians Had Ability To Change Voter Data But Didn’t, Report Says","Though hackers had access to voter registration data, they did not appear to be able to change individual votes or vote totals."
polit,Elizabeth Warren’s Pick Wins Ohio's Democratic Gubernatorial Primary,Democrat Richard Cordray will face Republican Mike DeWine in November.
polit,Protesters Decrying Torture Dragged From Gina Haspel Senate Hearing,Demonstrators gathered inside and outside the building for the CIA nominee's confirmation hearing.
polit,New U.S. Ambassador To Germany Offends Hosts Just Hours Into His First Day,"Richard Grenell, a Trump ally and former Fox News commentator, has a history of stirring controversy on social media."
polit,"Senators Force A Vote That May Ultimately Reverse FCC, Restore Net Neutrality","If the effort makes it through the chamber, tougher battles await."
polit,NY Legislature Has Plan In Place To Consider Replacements For Eric Schneiderman,"A bipartisan committee will look at successors for the state attorney general, who has resigned in disgrace. Its recommendations might not mean much, though."
polit,More Than 100 Former Ambassadors Write Letter Opposing Gina Haspel Nomination,Trump's pick for CIA director oversaw a black site in Thailand where at least one detainee was reportedly tortured.
polit,California Authority Says State's New Homes Must Be Solar Powered,This will be the first state mandate of its kind.
polit,Progressive Prosecutors Win Primaries In North Carolina,Progressives spent millions to challenge local prosecutors around the country who are maintaining the status quo.
polit,Bernie Sanders Has A Plan To Revive Labor Unions,The senator tells HuffPost it's time to ban right-to-work laws and make it easier to unionize.
corrupt,Trump's Pick For CIA Director Won't Say Torture Program Was Morally Wrong,Gina Haspel pledged not to revive the spy agency's interrogation operation — but she wouldn't condemn it.
polit,Ex-Convict Don Blankenship Loses To Patrick Morrisey In West Virginia Senate Race,"Republican Morrisey will face Sen. Joe Manchin, a conservative Democrat who has voted for the president's agenda 61 percent of the time."
polit,Ohio Voters Pass Gerrymandering Reform Measure,The Ohio plan had overwhelming bipartisan support in the state legislature when lawmakers approved it for the May ballot.
polit,Trump's Iran Deal Exit Is A Win For Russia,It's a striking example of the president again making a move condemned by U.S. allies but likely to help Vladimir Putin.
polit,Senate Republicans Shun Don Blankenship On Day Of West Virginia Primary,"“I just don’t see a scenario where that’s a positive projection"" of the GOP brand, Sen. Thom Tillis (R-N.C.) said."
polit,Trump To Announce Whether U.S. Will Break The Iran Nuclear Deal,"U.S. allies France, Germany and Britain have all made overtures to persuade Trump to stay in the pact."
polit,Politicians Call For Schneiderman To Resign Over Physical Abuse Allegations,"In a New Yorker article, four women accused Schneiderman of physical abuse, including slapping and choking them."
polit,Joe Scarborough: Trump's Legal Strategy Is Like 'A Monkey Throwing Poo Against The Wall',"""It doesn't usually turn out well,"" the MSNBC host said of feces flinging."
polit,Giuliani Says Trump Lawyer Michael Cohen 'Has No Incriminating Information About The President',The newest member of Trump’s legal team in the Russia probe says he feels bad for Cohen and Paul Manafort because of the “storm trooper tactics” used against them.
polit,Trump Reportedly Tells Macron He's Pulling Out Of Iran Nuclear Deal,"France, the U.K. and Germany have been working with the Trump administration in recent weeks in an attempt to change the president's mind."
polit,How The Deportation Crackdown Is Hurting Immigrant Victims Of Crime,"Immigrants are less willing to report crimes or go to court because they fear they’ll be deported, according to a survey."
polit,Seth Meyers Says Michael Cohen Tried To Get Him To Apologize On-Air To Trump,The effort stemmed from Meyers' 2011 roasting of Trump at the White House Correspondents' Dinner.
polit,"Farm Bill Would Cut Food Stamps, Is Friendly To Farmers",The GOP bill would lower income limits for some SNAP recipients and raise them for certain agricultural subsidies.
polit,What To Know About The Iran Nuclear Deal,A guide to the 2015 international agreement that Donald Trump has plunged into crisis.
polit,Democratic Meddling In West Virginia And 4 Other Things To Watch This Election Day,"North Carolina, West Virginia, Indiana and Ohio all have high-profile primary fights."
polit,Top House Republican Threatens To Subpoena Trump DOJ Official Over Census Citizenship Request,"“He’s coming to talk, at some point or another, whether he wants to or not,"" said Rep. Trey Gowdy (R-S.C.)."
economi,White House Prepares To Send Congress $15 Billion Spending Cuts Package,The Republican version of fiscal conservatism is to increase the deficit by hundreds of billions and then propose $15 billion in cuts.
polit,This Trump Country House District Just Became A Key Progressive Battleground,Liz Watson’s victory in southern Indiana will test the appeal of liberal populism in November.
polit,Mike Pence's Brother Wins Primary Race For Vice President's Former House Seat,"Greg Pence, a former Marine with no previous political experience, has campaigned on much the same agenda as his younger brother."
polit,"Trump To Violate Iran Nuclear Deal, Vows To Reimpose Sanctions",The move puts the future of the 2015 international agreement in crisis.
polit,The First Big GOP Primaries Of The Trump Era Are All About The President. Just Look At Indiana.,Tuesday’s primaries are the first major chance for GOP voters to shape the party in the Trump era.
health,To The People Who Say ‘I’m Tired’ When Someone Asks How You Are,"When you feel like this, it’s important to know you’re not alone."
health,Eating Shake Shack Made Me Feel Healthier Than Dieting Ever Did,"I can vividly remember the first time I felt fear and frustration around food. I was 10 years old, I had just learned about"
health,The Real Reason Your Hands Are Always Cold,"Essentially, your hands are kept warm thanks to your body's circulatory system."
health,Research Finds Hysterectomy Alone Associated With Increased Long-Term Health Risks,Mayo Clinic researchers show that hysterectomy with ovarian conservation is associated with a significantly increased risk
health,World Health Organization’s Junk Diagnosis For 'Gaming Disorder' Trivializes Mental Illness,News media reported this week that the World Health Organization (WHO) is moving ahead with the inclusion of “gaming disorder
health,Hope Ahead: First U.S. Baby Born From A Uterine Transplant,"Hope has turned into happiness for one U.S. couple with the birth of their son last month, following the woman’s successful"
health,What No One Tells You About Loving Someone In Recovery From Addiction,"The truth is if you are supporting a partner through recovery, you aren’t alone and your recovery matters too."
health,4 Of The Absolute Worst Holiday Stressors And How To Deal With Them,From traveling to high expectations.
health,First US Baby Born After Uterus Transplantation Is Dawn Of A New Era,"A Texas woman recently gave birth to a boy, thanks to a transplanted uterus. Dr. Zaraq Khan, a Mayo Clinic reproductive endocrinologist"
